anime_id,Name,Score,Genres,Episodes_Count,Status,Licensors,Source,Duration,Rating,Rank,class,Episodes
34021,Lupin the IIIrd: Chikemuri no Ishikawa Goemon,7.86,"Action, Adventure, Drama",1,Finished Airing,Discotek Media,Manga,53 min,R+ - Mild Nudity,796,0,Short
34034,Pokemon Sun & Moon,6.87,"Action, Fantasy",146,Finished Airing,The Pokemon Company International,Game,24 min per ep,PG - Children,4540,0,Long
34036,Detective Conan: Episode One - The Great Detective Turned Small,8.24,"Adventure, Comedy, Mystery",1,Finished Airing,Discotek Media,Manga,1 hr 33 min,PG-13 - Teens 13 or older,300,1,Short
34051,Akiba's Trip The Animation,6.5,"Action, Comedy, Supernatural, Ecchi",13,Finished Airing,Funimation,Game,23 min per ep,PG-13 - Teens 13 or older,6365,0,Short
34055,Berserk 2nd Season,6.56,"Action, Adventure, Drama, Fantasy, Horror",12,Finished Airing,Funimation,Manga,24 min per ep,R - 17+ (violence & profanity),6021,0,Short
34086,Tales of Zestiria the Cross 2nd Season,7.31,"Action, Adventure, Fantasy",13,Finished Airing,Funimation,Game,23 min per ep,PG-13 - Teens 13 or older,2451,0,Short
34102,Sakurada Reset,7.34,"Mystery, Supernatural",24,Finished Airing,Sentai Filmworks,Light novel,25 min per ep,PG-13 - Teens 13 or older,2347,0,Short
34104,Knight's & Magic,7.08,"Action, Fantasy",13,Finished Airing,Funimation,Light novel,24 min per ep,PG-13 - Teens 13 or older,3626,0,Short
34106,Kyoukai no Rinne 3rd Season,7.04,"Comedy, Supernatural",25,Finished Airing,Sentai Filmworks,Manga,24 min per ep,PG-13 - Teens 13 or older,3803,0,Short
34134,One Punch Man 2nd Season,7.5,"Action, Comedy",12,Finished Airing,VIZ Media,Web manga,23 min per ep,R - 17+ (violence & profanity),1716,0,Short
34176,Zero kara Hajimeru Mahou no Sho,7.07,"Action, Adventure, Fantasy",12,Finished Airing,Sentai Filmworks,Light novel,24 min per ep,PG-13 - Teens 13 or older,3651,0,Short
34177,Tenshi no 3P!,6.61,Slice of Life,12,Finished Airing,Discotek Media,Light novel,23 min per ep,PG-13 - Teens 13 or older,5776,0,Short
34208,Escha Chron,6.36,"Sci-Fi, Slice of Life",2,Finished Airing,Sentai Filmworks,Other,24 min per ep,PG-13 - Teens 13 or older,7066,0,Short
34209,Meiji Tokyo Renka,7.03,"Romance, Supernatural",12,Finished Airing,Funimation,Visual novel,23 min per ep,PG-13 - Teens 13 or older,3839,0,Short
34257,Cinderella Girls Gekijou,6.54,"Comedy, Slice of Life",13,Finished Airing,Crunchyroll,4-koma manga,3 min per ep,PG-13 - Teens 13 or older,6111,0,Short
34262,Oushitsu Kyoushi Heine,7.46,Comedy,12,Finished Airing,Funimation,Manga,23 min per ep,PG-13 - Teens 13 or older,1856,0,Short
34279,Grancrest Senki,7.22,"Action, Drama, Fantasy, Romance",24,Finished Airing,Aniplex of America,Light novel,23 min per ep,R - 17+ (violence & profanity),2937,0,Short
34280,Gamers!,6.76,"Comedy, Romance",12,Finished Airing,Funimation,Light novel,24 min per ep,PG-13 - Teens 13 or older,5053,0,Short
34281,High School DxD Hero,7.25,"Action, Comedy, Romance, Ecchi",12,Finished Airing,Funimation,Light novel,23 min per ep,R+ - Mild Nudity,2783,0,Short
34284,Yuuki Yuuna wa Yuusha de Aru: Washio Sumi no Shou,7.7,"Drama, Fantasy",6,Finished Airing,Sentai Filmworks,Light novel,24 min per ep,PG-13 - Teens 13 or older,1139,0,Short
34299,Digimon Adventure tri. 4: Soushitsu,7.28,"Action, Adventure, Comedy, Drama",1,Finished Airing,Shout! Factory,Original,1 hr 22 min,PG-13 - Teens 13 or older,2612,0,Short
34321,Fate/Grand Order: First Order,6.73,"Action, Fantasy, Supernatural",1,Finished Airing,Aniplex of America,Game,1 hr 14 min,PG-13 - Teens 13 or older,5195,0,Short
34350,Alice to Zouroku,7.1,"Adventure, Mystery",12,Finished Airing,Funimation,Manga,23 min per ep,PG-13 - Teens 13 or older,3526,0,Short
34368,Vatican Kiseki Chousakan,6.4,"Drama, Mystery, Supernatural",12,Finished Airing,Sentai Filmworks,Novel,24 min per ep,R - 17+ (violence & profanity),6877,0,Short
34382,Citrus,6.45,"Drama, Girls Love, Romance",12,Finished Airing,Funimation,Manga,23 min per ep,PG-13 - Teens 13 or older,6600,0,Short
34403,Hajimete no Gal,6.29,"Comedy, Romance, Ecchi",10,Finished Airing,Funimation,Manga,23 min per ep,PG-13 - Teens 13 or older,7450,0,Short
34414,Nanbaka 2,7.49,"Action, Comedy, Drama",12,Finished Airing,Funimation,Web manga,23 min per ep,PG-13 - Teens 13 or older,1753,0,Short
34427,Frame Arms Girl,6.37,"Action, Sci-Fi, Slice of Life",12,Finished Airing,Sentai Filmworks,Other,23 min per ep,PG-13 - Teens 13 or older,7041,0,Short
34437,Code Geass: Fukkatsu no Lelouch,7.91,"Action, Drama, Sci-Fi",1,Finished Airing,Funimation,Original,1 hr 52 min,R - 17+ (violence & profanity),708,0,Short
