Episodes,Licensors,Source,Rating,Action,Scifi,Adventure,Drama,Mystery,Supernatural,Fantasy,Sports,Comedy,Romance,Suspense,Ecchi,Horror,Slice of Life,Girls Love,Boys Love,class
Short,ADV_Films,Manga,R+_Mild_Nudity,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1
Short,Funimation,Original,PG-13_Teens_13_or_older,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Short,Funimation,Original,R-17+,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
Short,Nozomi_Entertainment,Manga,R-17+,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Short,Geneon_Entertainment_USA,Manga,R-17+,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Short,Media_Blasters,Manga,PG _Children,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1
Medium,Nelvana,Manga,PG _Children,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1
Short,Bandai_Entertainment,Manga,G_All_Ages,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Short,ADV_Films,Manga,PG-13_Teens_13_or_older,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1
Short,Funimation,Original,PG-13_Teens_13_or_older,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1
Short,VIZ_Media,Manga,PG-13_Teens_13_or_older,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Short,Funimation,Novel,R-17+,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1
Short,Media_Blasters,Manga,PG-13_Teens_13_or_older,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
Short,Funimation,Manga,R+_Mild_Nudity,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1
Short,Media_Blasters,Manga,R-17+,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1
Short,Nozomi_Entertainment,Manga,PG-13_Teens_13_or_older,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
Short,Discotek_Media,Manga,R-17+,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Medium,Tokyopop,Manga,PG-13_Teens_13_or_older,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1
Long,VIZ_Media,Manga,PG-13_Teens_13_or_older,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1
Long,VIZ_Media,Manga,PG-13_Teens_13_or_older,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
Medium,Discotek_Media,Light_novel,PG-13_Teens_13_or_older,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
Short,ADV_Films,Original,PG-13_Teens_13_or_older,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1
Short,Funimation,Manga,PG-13_Teens_13_or_older,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
Short,Funimation,Manga,PG-13_Teens_13_or_older,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
Short,Funimation,Manga,R+_Mild_Nudity,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Short,ADV_Films,Manga,PG-13_Teens_13_or_older,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1
Medium,Discotek_Media,Manga,PG-13_Teens_13_or_older,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Short,Media_Blasters,Game,PG-13_Teens_13_or_older,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
Short,Funimation,Game,R-17+,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Short,ADV_Films,Manga,R+_Mild_Nudity,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1
Long,VIZ_Media,Manga,PG-13_Teens_13_or_older,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Short,Funimation,Manga,R-17+,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
Short,Funimation,Original,PG-13_Teens_13_or_older,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Short,ADV_Films,Original,PG-13_Teens_13_or_older,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
Short,Sentai_Filmworks,Manga,PG-13_Teens_13_or_older,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Short,Funimation,Original,R+_Mild_Nudity,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Short,Maiden_Japan,Original,R+_Mild_Nudity,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
Short,Sentai_Filmworks,Manga,R+_Mild_Nudity,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1
Short,Sentai_Filmworks,Manga,R+_Mild_Nudity,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1
